parent,chronological_index,original_chronological_split,feasible_natural_voyages,infeasible_natural_voyages,unknown_feasibility_natural_voyages,natural_duration_s,mean_load_kw,above600_deficit_energy_kwh,delta_abs_p95_kw_per_s,final_split,selection_reason
5月7日08_00_5月7日18_00,24,train,1,0,0,810,66.2085239601,0,1.69470251619,test,test raw-feature representative order 6; complete natural and independently feasible
5月8日08_00_5月8日17_00,25,train,1,0,0,6960,336.56125776,3.67006448415,1.99980884717,test,test raw-feature representative order 7; complete natural and independently feasible
5月9日08_00_5月9日17_00,26,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
5月10日08_00_5月10日10_00,27,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
5月11日08_00_5月11日11_00,28,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
5月13日08_00_5月13日11_00,29,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
5月14日12_00_5月14日19_00,30,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
5月15日08_00_5月15日17_00,31,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
5月17日08_00_5月17日18_00,32,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
5月20日08_00_5月20日18_00,33,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
5月21日05_00_5月21日11_00,34,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
5月24日08_00_5月24日19_00,35,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
5月27日08_00_5月27日19_00,36,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
5月29日14_00_5月29日17_00,37,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
5月30日05_00_5月30日17_00,38,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
6月4日08_00_6月4日12_00,39,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
6月5日08_00_6月5日19_00,40,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
6月6日10_00_6月6日21_00,41,train,2,0,0,14940,466.593528714,263.309200378,2.24512319241,test,test raw-feature representative order 2; complete natural and independently feasible
6月7日00_00_6月7日24_00,42,train,1,0,0,7410,159.387769784,0,1.40433418346,validation,validation: remaining independent parent with complete feasible natural operation
6月11日08_00_6月11日11_00,43,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
6月12日14_00_6月12日17_00,44,train,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
6月13日08_00_6月13日14_00,45,train,1,0,0,7860,285.866687005,0,1.2028392788,test,test raw-feature representative order 5; complete natural and independently feasible
6月14日08_00_6月15日18_00,46,train,1,0,0,810,40.1948068458,0,2.14140106709,validation,validation: remaining independent parent with complete feasible natural operation
6月17日09_00_6月17日16_00,47,validation,0,0,0,0,0,0,0,validation,validation: original chronological validation parent retained as supplementary quality-screened operation
6月20日08_00_6月20日16_00,48,validation,0,0,0,0,0,0,0,validation,validation: original chronological validation parent retained as supplementary quality-screened operation
6月26日08_00_6月26日13_00,49,validation,0,0,0,0,0,0,0,validation,validation: original chronological validation parent retained as supplementary quality-screened operation
6月28日08_00_6月28日15_00,50,validation,0,0,0,0,0,0,0,validation,validation: original chronological validation parent retained as supplementary quality-screened operation
6月30日05_00_6月30日11_00,51,validation,0,0,0,0,0,0,0,validation,validation: original chronological validation parent retained as supplementary quality-screened operation
7月2日14_00_7月2日18_00,52,validation,0,0,0,0,0,0,0,validation,validation: original chronological validation parent retained as supplementary quality-screened operation
7月3日08_00_7月3日16_00,53,validation,0,0,0,0,0,0,0,validation,validation: original chronological validation parent retained as supplementary quality-screened operation
7月9日08_00_7月9日16_00,54,validation,1,0,0,6660,307.887454305,0,2.16918582222,test,test raw-feature representative order 1; complete natural and independently feasible
7月10日08_00_7月10日18_00,55,validation,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
7月11日06_00_7月12日10_00,56,validation,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
7月15日14_00_7月15日16_00,57,validation,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
7月18日08_00_7月18日12_00,58,validation,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
7月19日07_00_7月19日09_00,59,validation,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
7月22日08_00_7月22日11_00,60,test,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
7月23日12_00_7月23日15_00,61,test,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
7月24日14_00_7月24日17_00,62,test,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
7月25日08_00_7月25日17_00,63,test,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
7月26日11_00_7月26日13_00,64,test,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
7月29日14_00_7月29日17_00,65,test,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
7月31日08_00_7月31日11_00,66,test,0,0,0,0,0,0,0,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening
